epoch,lr-AdamW,step,train_loss_step
,0.0001,9,
0,,9,1.7887910604476929
,0.0001,19,
0,,19,1.674575686454773
,0.0001,29,
0,,29,1.7246601581573486
,0.0001,39,
0,,39,1.6155784130096436
,0.0001,49,
0,,49,1.694178581237793
,0.0001,59,
0,,59,1.6257493495941162
,0.0001,69,
0,,69,1.849395990371704
,0.0001,79,
0,,79,1.8686848878860474
,0.0001,89,
0,,89,1.322014331817627
,0.0001,99,
0,,99,1.0942111015319824
,0.0001,109,
0,,109,1.5953843593597412
,0.0001,119,
0,,119,1.0068496465682983
,0.0001,129,
0,,129,1.7281352281570435
,0.0001,139,
0,,139,1.6480249166488647
,0.0001,149,
0,,149,1.7890052795410156
,0.0001,159,
0,,159,1.0730632543563843
,0.0001,169,
0,,169,1.5290329456329346
,0.0001,179,
0,,179,2.915816307067871
